State,State_Initial,SA4 Name 2016,Population,Month,Year,Year-Month,Crash_Count,Fatality_Count,Crash_Count_per_100000_population,Fatality_Count_per_100000_population
South Australia,SA,Adelaide - Central And Hills,310091,1,2015,2015-1,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,1,2019,2019-1,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,1,2021,2021-1,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,2,2015,2015-2,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,2,2016,2016-2,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,2,2019,2019-2,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,2,2021,2021-2,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,3,2015,2015-3,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,3,2017,2017-3,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,3,2018,2018-3,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,3,2019,2019-3,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,3,2020,2020-3,3,3,0.96745794,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,3,2021,2021-3,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,4,2016,2016-4,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,4,2017,2017-4,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,4,2019,2019-4,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,4,2020,2020-4,2,3,0.64497196,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,4,2021,2021-4,3,3,0.96745794,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,5,2015,2015-5,3,3,0.96745794,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,6,2015,2015-6,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,6,2016,2016-6,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,6,2017,2017-6,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,6,2021,2021-6,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,7,2015,2015-7,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,7,2017,2017-7,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,7,2018,2018-7,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,7,2020,2020-7,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,8,2016,2016-8,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,8,2017,2017-8,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,8,2019,2019-8,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,9,2015,2015-9,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,9,2018,2018-9,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,9,2020,2020-9,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,10,2015,2015-10,5,5,1.6124299,1.6124299
South Australia,SA,Adelaide - Central And Hills,310091,10,2017,2017-10,3,3,0.96745794,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,10,2019,2019-10,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,10,2020,2020-10,3,3,0.96745794,0.96745794
South Australia,SA,Adelaide - Central And Hills,310091,11,2016,2016-11,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,11,2017,2017-11,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,11,2018,2018-11,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,11,2020,2020-11,2,2,0.64497196,0.64497196
South Australia,SA,Adelaide - Central And Hills,310091,12,2018,2018-12,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,12,2019,2019-12,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - Central And Hills,310091,12,2020,2020-12,1,1,0.32248598,0.32248598
South Australia,SA,Adelaide - North,448458,1,2017,2017-1,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,1,2019,2019-1,6,6,1.337917932,1.337917932
South Australia,SA,Adelaide - North,448458,1,2020,2020-1,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,1,2021,2021-1,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,2,2015,2015-2,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,2,2018,2018-2,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,2,2020,2020-2,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,3,2016,2016-3,2,3,0.445972644,0.668958966
South Australia,SA,Adelaide - North,448458,3,2017,2017-3,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,3,2018,2018-3,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,3,2019,2019-3,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,3,2020,2020-3,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,3,2021,2021-3,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,4,2017,2017-4,2,3,0.445972644,0.668958966
South Australia,SA,Adelaide - North,448458,4,2020,2020-4,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,4,2021,2021-4,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,5,2018,2018-5,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,5,2020,2020-5,1,2,0.222986322,0.445972644
South Australia,SA,Adelaide - North,448458,6,2015,2015-6,3,3,0.668958966,0.668958966
South Australia,SA,Adelaide - North,448458,6,2017,2017-6,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,6,2018,2018-6,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,6,2021,2021-6,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,7,2017,2017-7,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,7,2019,2019-7,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,7,2020,2020-7,3,3,0.668958966,0.668958966
South Australia,SA,Adelaide - North,448458,8,2015,2015-8,3,3,0.668958966,0.668958966
South Australia,SA,Adelaide - North,448458,8,2016,2016-8,4,4,0.891945288,0.891945288
South Australia,SA,Adelaide - North,448458,8,2017,2017-8,6,6,1.337917932,1.337917932
South Australia,SA,Adelaide - North,448458,8,2019,2019-8,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,8,2020,2020-8,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,9,2015,2015-9,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,9,2016,2016-9,4,4,0.891945288,0.891945288
South Australia,SA,Adelaide - North,448458,9,2017,2017-9,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,9,2019,2019-9,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,9,2020,2020-9,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,10,2015,2015-10,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,10,2016,2016-10,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,10,2017,2017-10,2,3,0.445972644,0.668958966
South Australia,SA,Adelaide - North,448458,10,2018,2018-10,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,10,2019,2019-10,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,10,2020,2020-10,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,11,2015,2015-11,2,2,0.445972644,0.445972644
South Australia,SA,Adelaide - North,448458,11,2016,2016-11,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,11,2018,2018-11,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,11,2019,2019-11,6,6,1.337917932,1.337917932
South Australia,SA,Adelaide - North,448458,12,2017,2017-12,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - North,448458,12,2018,2018-12,3,3,0.668958966,0.668958966
South Australia,SA,Adelaide - North,448458,12,2019,2019-12,3,3,0.668958966,0.668958966
South Australia,SA,Adelaide - North,448458,12,2020,2020-12,1,1,0.222986322,0.222986322
South Australia,SA,Adelaide - South,374910,1,2015,2015-1,3,3,0.800192046,0.800192046
South Australia,SA,Adelaide - South,374910,1,2016,2016-1,1,3,0.266730682,0.800192046
South Australia,SA,Adelaide - South,374910,1,2017,2017-1,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,1,2021,2021-1,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,2,2015,2015-2,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,2,2016,2016-2,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,2,2017,2017-2,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,2,2021,2021-2,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,3,2019,2019-3,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,3,2020,2020-3,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,3,2021,2021-3,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,4,2015,2015-4,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,4,2016,2016-4,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,4,2018,2018-4,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,4,2021,2021-4,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,5,2015,2015-5,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,5,2016,2016-5,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,5,2017,2017-5,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,5,2019,2019-5,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,6,2017,2017-6,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,6,2019,2019-6,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,6,2021,2021-6,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,7,2015,2015-7,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,7,2017,2017-7,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,7,2018,2018-7,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,7,2021,2021-7,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,8,2017,2017-8,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,8,2019,2019-8,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,8,2020,2020-8,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,9,2016,2016-9,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,9,2018,2018-9,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,10,2016,2016-10,3,3,0.800192046,0.800192046
South Australia,SA,Adelaide - South,374910,10,2017,2017-10,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,10,2019,2019-10,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,10,2020,2020-10,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,11,2017,2017-11,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,11,2019,2019-11,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,11,2020,2020-11,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,12,2016,2016-12,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,12,2017,2017-12,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - South,374910,12,2018,2018-12,1,1,0.266730682,0.266730682
South Australia,SA,Adelaide - South,374910,12,2020,2020-12,2,2,0.533461364,0.533461364
South Australia,SA,Adelaide - West,243142,1,2015,2015-1,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,1,2018,2018-1,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,1,2019,2019-1,3,3,1.233846888,1.233846888
South Australia,SA,Adelaide - West,243142,1,2020,2020-1,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,1,2021,2021-1,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,2,2015,2015-2,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,2,2016,2016-2,2,2,0.822564592,0.822564592
South Australia,SA,Adelaide - West,243142,3,2015,2015-3,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,3,2017,2017-3,3,3,1.233846888,1.233846888
South Australia,SA,Adelaide - West,243142,3,2021,2021-3,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,4,2015,2015-4,2,2,0.822564592,0.822564592
South Australia,SA,Adelaide - West,243142,4,2021,2021-4,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,5,2020,2020-5,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,5,2021,2021-5,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,6,2016,2016-6,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,6,2018,2018-6,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,6,2019,2019-6,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,6,2020,2020-6,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,7,2017,2017-7,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,7,2018,2018-7,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,7,2021,2021-7,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,8,2015,2015-8,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,8,2017,2017-8,2,2,0.822564592,0.822564592
South Australia,SA,Adelaide - West,243142,9,2017,2017-9,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,9,2018,2018-9,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,9,2019,2019-9,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,10,2015,2015-10,2,2,0.822564592,0.822564592
South Australia,SA,Adelaide - West,243142,10,2019,2019-10,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,10,2020,2020-10,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,11,2015,2015-11,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,11,2016,2016-11,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,11,2017,2017-11,1,1,0.411282296,0.411282296
South Australia,SA,Adelaide - West,243142,12,2017,2017-12,3,3,1.233846888,1.233846888
South Australia,SA,Adelaide - West,243142,12,2019,2019-12,2,2,0.822564592,0.822564592
Australian Capital Territory,ACT,Australian Capital Territory,431380,1,2015,2015-1,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,1,2018,2018-1,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,1,2019,2019-1,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,1,2021,2021-1,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,2,2017,2017-2,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,2,2018,2018-2,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,2,2021,2021-2,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,3,2016,2016-3,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,3,2017,2017-3,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,3,2021,2021-3,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,4,2015,2015-4,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,4,2018,2018-4,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,4,2020,2020-4,1,2,0.231814178,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,4,2021,2021-4,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,5,2015,2015-5,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,5,2016,2016-5,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,5,2017,2017-5,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,5,2018,2018-5,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,6,2015,2015-6,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,6,2019,2019-6,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,6,2021,2021-6,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,7,2015,2015-7,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,7,2016,2016-7,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,7,2018,2018-7,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,7,2020,2020-7,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,9,2015,2015-9,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,9,2016,2016-9,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,9,2019,2019-9,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,9,2020,2020-9,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,10,2016,2016-10,2,2,0.463628356,0.463628356
Australian Capital Territory,ACT,Australian Capital Territory,431380,10,2019,2019-10,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,11,2015,2015-11,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,11,2016,2016-11,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,11,2017,2017-11,1,1,0.231814178,0.231814178
Australian Capital Territory,ACT,Australian Capital Territory,431380,12,2015,2015-12,3,4,0.695442533,0.927256711
Australian Capital Territory,ACT,Australian Capital Territory,431380,12,2019,2019-12,1,1,0.231814178,0.231814178
Victoria,Vic,Ballarat,169854,1,2017,2017-1,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,1,2018,2018-1,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,1,2019,2019-1,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,1,2020,2020-1,4,4,2.354963675,2.354963675
Victoria,Vic,Ballarat,169854,2,2015,2015-2,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,2,2016,2016-2,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,2,2017,2017-2,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,2,2019,2019-2,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,3,2015,2015-3,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,3,2017,2017-3,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,3,2019,2019-3,3,3,1.766222756,1.766222756
Victoria,Vic,Ballarat,169854,3,2020,2020-3,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,4,2015,2015-4,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,4,2016,2016-4,3,5,1.766222756,2.943704593
Victoria,Vic,Ballarat,169854,4,2019,2019-4,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,4,2021,2021-4,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,5,2015,2015-5,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,5,2016,2016-5,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,5,2017,2017-5,4,4,2.354963675,2.354963675
Victoria,Vic,Ballarat,169854,5,2018,2018-5,2,5,1.177481837,2.943704593
Victoria,Vic,Ballarat,169854,5,2019,2019-5,1,2,0.588740919,1.177481837
Victoria,Vic,Ballarat,169854,5,2020,2020-5,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,5,2021,2021-5,3,3,1.766222756,1.766222756
Victoria,Vic,Ballarat,169854,6,2015,2015-6,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,6,2016,2016-6,1,2,0.588740919,1.177481837
Victoria,Vic,Ballarat,169854,6,2018,2018-6,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,6,2019,2019-6,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,7,2016,2016-7,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,7,2018,2018-7,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,7,2019,2019-7,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,8,2016,2016-8,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,8,2017,2017-8,1,2,0.588740919,1.177481837
Victoria,Vic,Ballarat,169854,8,2018,2018-8,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,8,2020,2020-8,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,9,2017,2017-9,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,9,2020,2020-9,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,10,2016,2016-10,4,4,2.354963675,2.354963675
Victoria,Vic,Ballarat,169854,10,2017,2017-10,1,2,0.588740919,1.177481837
Victoria,Vic,Ballarat,169854,10,2018,2018-10,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,10,2019,2019-10,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,10,2020,2020-10,3,3,1.766222756,1.766222756
Victoria,Vic,Ballarat,169854,11,2015,2015-11,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,11,2016,2016-11,2,3,1.177481837,1.766222756
Victoria,Vic,Ballarat,169854,11,2017,2017-11,2,3,1.177481837,1.766222756
Victoria,Vic,Ballarat,169854,11,2018,2018-11,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,11,2020,2020-11,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,12,2016,2016-12,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,12,2017,2017-12,1,1,0.588740919,0.588740919
Victoria,Vic,Ballarat,169854,12,2018,2018-12,2,2,1.177481837,1.177481837
Victoria,Vic,Ballarat,169854,12,2019,2019-12,2,3,1.177481837,1.766222756
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2016,2016-1,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2017,2017-1,1,2,0.870609949,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2018,2018-1,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2019,2019-1,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2020,2020-1,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,1,2021,2021-1,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,2,2017,2017-2,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,2,2019,2019-2,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,2,2021,2021-2,4,4,3.482439797,3.482439797
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2016,2016-3,3,3,2.611829848,2.611829848
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2017,2017-3,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2018,2018-3,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2019,2019-3,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2020,2020-3,3,3,2.611829848,2.611829848
South Australia,SA,Barossa - Yorke - Mid North,114862,3,2021,2021-3,4,5,3.482439797,4.353049747
South Australia,SA,Barossa - Yorke - Mid North,114862,4,2015,2015-4,4,4,3.482439797,3.482439797
South Australia,SA,Barossa - Yorke - Mid North,114862,4,2016,2016-4,2,5,1.741219899,4.353049747
South Australia,SA,Barossa - Yorke - Mid North,114862,4,2017,2017-4,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,4,2019,2019-4,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,4,2020,2020-4,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2015,2015-5,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2016,2016-5,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2017,2017-5,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2018,2018-5,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2019,2019-5,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2020,2020-5,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,5,2021,2021-5,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2015,2015-6,2,4,1.741219899,3.482439797
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2016,2016-6,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2017,2017-6,2,3,1.741219899,2.611829848
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2018,2018-6,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2019,2019-6,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,6,2021,2021-6,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,7,2015,2015-7,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,7,2016,2016-7,2,2,1.741219899,1.741219899
South Australia,SA,Barossa - Yorke - Mid North,114862,7,2017,2017-7,4,4,3.482439797,3.482439797
South Australia,SA,Barossa - Yorke - Mid North,114862,7,2018,2018-7,1,1,0.870609949,0.870609949
South Australia,SA,Barossa - Yorke - Mid North,114862,7,2019,2019-7,1,1,0.870609949,0.870609949
