Hour,Dayweek,Month,Year,Year-Month,Crash_Count
01,Friday,1,2017,2017-1,1
01,Friday,1,2021,2021-1,1
01,Friday,2,2021,2021-2,1
01,Friday,3,2015,2015-3,1
01,Friday,3,2019,2019-3,1
01,Friday,4,2019,2019-4,1
01,Friday,5,2017,2017-5,1
01,Friday,6,2015,2015-6,1
01,Friday,6,2020,2020-6,1
01,Friday,8,2016,2016-8,1
01,Friday,8,2017,2017-8,1
01,Friday,9,2018,2018-9,3
01,Friday,9,2019,2019-9,1
01,Friday,10,2015,2015-10,1
01,Friday,10,2020,2020-10,1
01,Friday,11,2017,2017-11,1
01,Friday,11,2018,2018-11,1
01,Friday,11,2020,2020-11,1
01,Friday,12,2018,2018-12,1
01,Friday,12,2019,2019-12,1
01,Monday,1,2017,2017-1,1
01,Monday,1,2018,2018-1,2
01,Monday,2,2021,2021-2,1
01,Monday,3,2016,2016-3,1
01,Monday,3,2017,2017-3,1
01,Monday,3,2021,2021-3,1
01,Monday,4,2016,2016-4,1
01,Monday,5,2019,2019-5,1
01,Monday,6,2018,2018-6,1
01,Monday,6,2020,2020-6,1
01,Monday,7,2015,2015-7,1
01,Monday,7,2018,2018-7,1
01,Monday,9,2017,2017-9,1
01,Monday,11,2015,2015-11,1
01,Monday,11,2018,2018-11,1
01,Monday,11,2020,2020-11,1
01,Monday,12,2018,2018-12,1
01,Saturday,1,2016,2016-1,1
01,Saturday,1,2017,2017-1,1
01,Saturday,1,2021,2021-1,1
01,Saturday,2,2016,2016-2,1
01,Saturday,2,2018,2018-2,2
01,Saturday,2,2019,2019-2,1
01,Saturday,2,2020,2020-2,2
01,Saturday,2,2021,2021-2,2
01,Saturday,3,2015,2015-3,1
01,Saturday,3,2017,2017-3,1
01,Saturday,3,2018,2018-3,1
01,Saturday,3,2019,2019-3,1
01,Saturday,3,2020,2020-3,1
01,Saturday,3,2021,2021-3,1
01,Saturday,4,2015,2015-4,1
01,Saturday,4,2016,2016-4,1
01,Saturday,4,2018,2018-4,2
01,Saturday,4,2021,2021-4,1
01,Saturday,5,2015,2015-5,2
01,Saturday,5,2017,2017-5,1
01,Saturday,5,2018,2018-5,1
01,Saturday,5,2019,2019-5,1
01,Saturday,5,2020,2020-5,1
01,Saturday,5,2021,2021-5,2
01,Saturday,6,2016,2016-6,2
01,Saturday,6,2018,2018-6,2
01,Saturday,6,2019,2019-6,3
01,Saturday,6,2020,2020-6,1
01,Saturday,6,2021,2021-6,2
01,Saturday,7,2015,2015-7,1
01,Saturday,7,2017,2017-7,1
01,Saturday,7,2020,2020-7,1
01,Saturday,7,2021,2021-7,1
01,Saturday,8,2017,2017-8,1
01,Saturday,8,2018,2018-8,1
01,Saturday,9,2017,2017-9,1
01,Saturday,9,2018,2018-9,1
01,Saturday,10,2020,2020-10,1
01,Saturday,11,2016,2016-11,1
01,Saturday,11,2017,2017-11,2
01,Saturday,11,2020,2020-11,1
01,Saturday,12,2015,2015-12,1
01,Saturday,12,2016,2016-12,4
01,Sunday,1,2021,2021-1,1
01,Sunday,2,2021,2021-2,2
01,Sunday,3,2015,2015-3,2
01,Sunday,3,2016,2016-3,1
01,Sunday,3,2017,2017-3,1
01,Sunday,3,2018,2018-3,1
01,Sunday,3,2019,2019-3,1
01,Sunday,3,2021,2021-3,1
01,Sunday,4,2019,2019-4,2
01,Sunday,4,2020,2020-4,1
01,Sunday,4,2021,2021-4,1
01,Sunday,5,2018,2018-5,1
