Dayweek,Month,Year,Crash_Count
Sunday,June,2018,18
Sunday,June,2019,13
Sunday,June,2020,12
Sunday,June,2021,12
Sunday,July,2015,8
Sunday,July,2016,19
Sunday,July,2017,23
Sunday,July,2018,15
Sunday,July,2019,11
Sunday,July,2020,11
Sunday,July,2021,10
Sunday,August,2015,21
Sunday,August,2016,18
Sunday,August,2017,17
Sunday,August,2018,15
Sunday,August,2019,9
Sunday,August,2020,14
Sunday,August,2021,11
Sunday,September,2015,13
Sunday,September,2016,13
Sunday,September,2017,14
Sunday,September,2018,12
Sunday,September,2019,13
Sunday,September,2020,13
Sunday,October,2015,17
Sunday,October,2016,21
Sunday,October,2017,18
Sunday,October,2018,16
Sunday,October,2019,21
Sunday,October,2020,13
Sunday,November,2015,9
Sunday,November,2016,16
Sunday,November,2017,20
Sunday,November,2018,15
Sunday,November,2019,6
Sunday,November,2020,22
Sunday,December,2015,12
Sunday,December,2016,18
Sunday,December,2017,15
Sunday,December,2018,17
Sunday,December,2019,13
Sunday,December,2020,13
Thursday,January,2015,19
Thursday,January,2016,12
Thursday,January,2017,7
Thursday,January,2018,13
Thursday,January,2019,19
Thursday,January,2020,12
Thursday,January,2021,12
Thursday,February,2015,9
Thursday,February,2016,13
Thursday,February,2017,11
Thursday,February,2018,13
Thursday,February,2019,20
Thursday,February,2020,11
Thursday,February,2021,10
Thursday,March,2015,9
Thursday,March,2016,15
Thursday,March,2017,17
Thursday,March,2018,12
Thursday,March,2019,16
Thursday,March,2020,10
Thursday,March,2021,6
Thursday,April,2015,9
Thursday,April,2016,12
Thursday,April,2017,8
Thursday,April,2018,7
Thursday,April,2019,9
Thursday,April,2020,9
Thursday,April,2021,17
Thursday,May,2015,12
Thursday,May,2016,12
Thursday,May,2017,13
Thursday,May,2018,8
Thursday,May,2019,14
Thursday,May,2020,12
Thursday,May,2021,15
Thursday,June,2015,12
Thursday,June,2016,17
Thursday,June,2017,16
Thursday,June,2018,10
Thursday,June,2019,15
Thursday,June,2020,6
Thursday,June,2021,14
Thursday,July,2015,17
Thursday,July,2016,10
Thursday,July,2017,14
Thursday,July,2018,14
Thursday,July,2019,10
Thursday,July,2020,13
Thursday,July,2021,14
Thursday,August,2015,13
Thursday,August,2016,12
Thursday,August,2017,14
Thursday,August,2018,7
Thursday,August,2019,15
Thursday,August,2020,11
Thursday,August,2021,7
Thursday,September,2015,10
Thursday,September,2016,8
Thursday,September,2017,8
Thursday,September,2018,13
Thursday,September,2019,7
Thursday,September,2020,5
Thursday,October,2015,20
Thursday,October,2016,19
Thursday,October,2017,14
Thursday,October,2018,4
Thursday,October,2019,13
Thursday,October,2020,15
Thursday,November,2015,8
Thursday,November,2016,9
Thursday,November,2017,6
Thursday,November,2018,11
Thursday,November,2019,13
Thursday,November,2020,12
Thursday,December,2015,12
Thursday,December,2016,10
Thursday,December,2017,24
Thursday,December,2018,12
Thursday,December,2019,15
Thursday,December,2020,10
Tuesday,January,2015,9
Tuesday,January,2016,10
Tuesday,January,2017,17
Tuesday,January,2018,14
Tuesday,January,2019,16
Tuesday,January,2020,7
Tuesday,January,2021,7
Tuesday,February,2015,8
Tuesday,February,2016,17
Tuesday,February,2017,4
Tuesday,February,2018,8
Tuesday,February,2019,12
Tuesday,February,2020,11
Tuesday,February,2021,13
Tuesday,March,2015,9
Tuesday,March,2016,20
Tuesday,March,2017,12
Tuesday,March,2018,8
Tuesday,March,2019,14
Tuesday,March,2020,16
Tuesday,March,2021,13
Tuesday,April,2015,9
Tuesday,April,2016,17
Tuesday,April,2017,17
Tuesday,April,2018,8
Tuesday,April,2019,14
Tuesday,April,2020,7
Tuesday,April,2021,7
Tuesday,May,2015,10
Tuesday,May,2016,14
Tuesday,May,2017,17
Tuesday,May,2018,15
Tuesday,May,2019,9
Tuesday,May,2020,9
Tuesday,May,2021,9
Tuesday,June,2015,9
Tuesday,June,2016,9
Tuesday,June,2017,8
Tuesday,June,2018,5
Tuesday,June,2019,6
Tuesday,June,2020,12
Tuesday,June,2021,12
Tuesday,July,2015,10
Tuesday,July,2016,8
Tuesday,July,2017,15
Tuesday,July,2018,14
Tuesday,July,2019,10
Tuesday,July,2020,9
Tuesday,July,2021,9
Tuesday,August,2015,21
Tuesday,August,2016,9
Tuesday,August,2017,17
Tuesday,August,2018,15
Tuesday,August,2019,11
Tuesday,August,2020,10
Tuesday,August,2021,8
Tuesday,September,2015,11
Tuesday,September,2016,10
Tuesday,September,2017,10
Tuesday,September,2018,12
Tuesday,September,2019,15
Tuesday,September,2020,9
Tuesday,October,2015,11
Tuesday,October,2016,12
Tuesday,October,2017,9
Tuesday,October,2018,7
Tuesday,October,2019,15
Tuesday,October,2020,10
Tuesday,November,2015,12
Tuesday,November,2016,16
Tuesday,November,2017,7
Tuesday,November,2018,13
Tuesday,November,2019,9
Tuesday,November,2020,13
Tuesday,December,2015,10
Tuesday,December,2016,14
Tuesday,December,2017,16
Tuesday,December,2018,8
Tuesday,December,2019,17
Tuesday,December,2020,12
Wednesday,January,2015,11
Wednesday,January,2016,15
Wednesday,January,2017,11
Wednesday,January,2018,10
Wednesday,January,2019,14
Wednesday,January,2020,12
Wednesday,January,2021,11
Wednesday,February,2015,6
Wednesday,February,2016,16
Wednesday,February,2017,9
Wednesday,February,2018,10
Wednesday,February,2019,13
Wednesday,February,2020,10
Wednesday,February,2021,11
Wednesday,March,2015,11
Wednesday,March,2016,9
Wednesday,March,2017,11
Wednesday,March,2018,14
Wednesday,March,2019,10
Wednesday,March,2020,12
Wednesday,March,2021,18
Wednesday,April,2015,14
Wednesday,April,2016,12
Wednesday,April,2017,17
Wednesday,April,2018,11
Wednesday,April,2019,9
Wednesday,April,2020,19
Wednesday,April,2021,5
Wednesday,May,2015,12
Wednesday,May,2016,13
Wednesday,May,2017,9
Wednesday,May,2018,13
Wednesday,May,2019,14
Wednesday,May,2020,10
Wednesday,May,2021,6
Wednesday,June,2015,16
Wednesday,June,2016,8
Wednesday,June,2017,13
Wednesday,June,2018,14
Wednesday,June,2019,9
Wednesday,June,2020,9
Wednesday,June,2021,25
Wednesday,July,2015,18
Wednesday,July,2016,11
Wednesday,July,2017,8
Wednesday,July,2018,10
Wednesday,July,2019,8
Wednesday,July,2020,15
Wednesday,July,2021,14
Wednesday,August,2015,11
Wednesday,August,2016,18
Wednesday,August,2017,17
Wednesday,August,2018,10
Wednesday,August,2019,7
Wednesday,August,2020,9
Wednesday,August,2021,9
Wednesday,September,2015,11
Wednesday,September,2016,7
Wednesday,September,2017,12
Wednesday,September,2018,6
Wednesday,September,2019,12
Wednesday,September,2020,8
Wednesday,October,2015,10
Wednesday,October,2016,11
Wednesday,October,2017,12
Wednesday,October,2018,10
Wednesday,October,2019,10
Wednesday,October,2020,15
Wednesday,November,2015,8
Wednesday,November,2016,17
Wednesday,November,2017,23
Wednesday,November,2018,6
Wednesday,November,2019,14
Wednesday,November,2020,7
Wednesday,December,2015,20
Wednesday,December,2016,13
Wednesday,December,2017,10
Wednesday,December,2018,14
Wednesday,December,2019,11
Wednesday,December,2020,15
